age,sex,marital_status,residence,education,occupation,out_of_region_employment,family_members,family_disabilities,house_floor,earthquake80,political_orientation,shocks,fear,anxiety,physiological_symptoms,decision_timeliness,insomnia,seismic_concern,abroad,out_of_region,out_of_region_earthquake,change_of_residence,change_of_residence_earthquake,red_zone_frequency,radio_info,TV_info,social_media_info,newspaper_info,app_info,municipal_institutions_trust,regional_institutions_trust,national_institutions_trust,INGV_trust,security,reception_centers,property_house,housing_type,elevator,n_vehicles,vehicle_type,end_of_month,salary
44,Female,Cohabiting,Napoli,Postgraduate Degree,Self-Employed,No,2,No,5,Yes,,3,3,3,4,2,4,3,Yes,Yes,No,Yes,No,Yes,2,2,2,3,3,2,2,1,4,1,No,Yes,Apartment,Yes,1,Motorcycle/Scooter,4,
22,Female,Unmarried,Milano,Degree,Student,Yes,3,No,1,No,Left,1,5,5,3,4,5,5,Yes,Yes,No,Yes,No,No,3,2,4,2,5,3,2,2,4,3,No,Yes,Apartment,Yes,1,Car,1,Up to €15000
65,Female,Separated,Somma Vesuviana,Degree,Self-Employed,No,3,No,0 (Ground Floor),Yes,,4,4,4,2,2,4,4,Yes,Yes,Yes,Yes,Yes,Yes,2,2,2,3,3,2,2,2,3,1,No,Yes,Apartment,Yes,1,Car,3,
59,,Married,Napoli,Degree,Employee,No,5,No,5,No,,3,3,3,2,2,4,3,Yes,Yes,No,Yes,No,No,3,3,2,3,4,2,1,1,3,2,Yes,Yes,Apartment,Yes,4,Car and Motorcycle,3,
26,Male,Unmarried,Somma Vesuviana,Degree,Employee,Yes,3,No,0 (Ground Floor),No,Left,1,3,5,5,4,3,4,Yes,Yes,No,No,No,No,3,3,4,3,5,1,1,1,4,2,No,Yes,Apartment,Yes,1,Car,2,
57,Female,Married,Somma Vesuviana,Postgraduate Degree,Self-Employed,No,4,No,0 (Ground Floor),Yes,,4,4,3,1,4,1,2,Yes,Yes,Yes,Yes,Yes,Yes,2,2,2,2,2,1,1,1,3,1,No,Yes,Villa/Small Villa,No,1,Car,1,
65,Female,Married,Piedimonte Matese,Postgraduate Degree,Self-Employed,No,4,No,2,Yes,Left,3,3,4,2,4,4,3,Yes,No,No,No,No,Yes,3,3,4,2,3,2,2,1,4,2,No,Yes,Apartment,No,2,Car,1,Up to €15000
43,Female,Cohabiting,Torino,Degree,Employee,Yes,3,No,3,Yes,None,3,2,2,2,4,3,4,Yes,Yes,No,No,No,Yes,2,2,3,2,3,3,4,2,3,2,No,Yes,Apartment,Yes,2,Car,2,
62,Male,Married,Giugliano,Degree,Self-Employed,No,5,Yes,2,Yes,Center,2,3,1,1,3,1,3,Yes,Yes,No,No,No,Yes,2,2,2,2,2,2,3,2,2,3,No,Yes,Villa/Small Villa,Yes,5,Car and Motorcycle,1,Over €50000
32,Female,Unmarried,Piedimonte Matese,Postgraduate Degree,Self-Employed,No,4,No,2,No,Left,3,3,4,3,2,4,4,Yes,No,No,Yes,No,No,3,4,4,4,3,2,2,2,3,2,No,Yes,Apartment,No,0,None,1,Between €15000 and €28000
31,Male,Unmarried,Napoli,Degree,Student Worker,No,2,No,Over 5,No,Left,2,2,2,1,2,1,1,Yes,Yes,No,Yes,No,No,2,2,2,2,3,2,2,1,4,3,No,Yes,Apartment,Yes,1,Car,1,Between €28000 and €50000
25,Female,Unmarried,Napoli,Degree,Student,Yes,4,No,2,No,,3,4,4,4,4,4,4,Yes,Yes,No,Yes,No,No,5,5,5,4,4,3,3,3,4,1,No,Yes,Villa/Small Villa,No,3,Car and Motorcycle,2,
58,Female,Married,San Giorgio A Cremano,Degree,Employee,No,4,No,2,Yes,,3,4,4,1,3,4,4,Yes,Yes,No,Yes,No,Yes,2,2,2,2,2,2,2,2,4,3,Yes,Yes,Apartment,Yes,2,Car,3,
38,Female,Unmarried,Vico Equense,Degree,Unemployed,No,1,No,2,No,Left,1,4,4,2,2,4,5,Yes,Yes,No,Yes,No,No,1,1,3,2,4,1,3,3,4,1,No,Yes,Apartment,Yes,2,Car and Motorcycle,5,
64,Male,Married,Giugliano,Degree,Retired,No,3,No,0 (Ground Floor),Yes,Left,2,2,2,2,4,2,2,Yes,Yes,No,Yes,No,Yes,3,3,3,3,2,2,3,3,4,3,Yes,Yes,Villa/Small Villa,No,1,Car,4,Between €28000 and €50000
56,Female,Cohabiting,Pozzuoli,Lower Secondary School,Unemployed,No,2,,1,Yes,,4,4,4,4,3,4,4,Yes,Yes,No,Yes,Yes,Yes,1,2,3,3,3,2,2,3,3,2,No,No,Apartment,No,0,None,4,
30,Male,Unmarried,Pozzuoli,Degree,Student,No,3,No,3,No,,3,3,5,1,3,3,5,Yes,Yes,Yes,Yes,Yes,No,3,3,2,3,2,2,2,2,3,2,No,Yes,Apartment,Yes,3,Car,3,
31,Male,Unmarried,Pozzuoli,Postgraduate Degree,Employee,No,3,No,0 (Ground Floor),No,Left,4,3,4,1,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,3,3,2,3,3,3,3,2,4,3,Yes,Yes,Villa/Small Villa,No,1,Car,1,Between €28000 and €50000
59,Female,Unmarried,Napoli,Degree,Self-Employed,No,4,No,1,Yes,,3,5,5,4,4,5,5,Yes,Yes,Yes,Yes,Yes,Yes,5,5,5,5,5,3,3,3,4,3,No,Yes,Apartment,No,1,Car,3,Between €15000 and €28000
